Date,Open,High,Low,Close
2008-11-30,26.79,27.95,26.66,27.903
2008-12-31,27.94,30.66,27.14,30.539
2009-01-31,30.78,35.84,30.78,35.724
2009-02-28,35.79,36.51,34.44,35.931
2009-03-31,35.794,36.428,33.21,33.909
2009-04-30,34.04,34.233,32.915,33.07
2009-05-31,32.994,33.08,30.774,30.8
2009-06-30,30.825,31.623,30.467,31.17
2009-07-31,31.151,33.172,30.59,31.472
2009-08-31,31.153,32.916,30.838,31.841
2009-09-30,31.907,32.118,29.929,30.043
2009-10-31,30.118,30.267,28.863,29.148
2009-11-30,29.184,29.917,28.624,29.235
2009-12-31,29.215,30.96,29.015,30.166
2010-01-31,29.87,30.488,29.281,30.326
2010-02-28,30.368,30.577,29.839,29.902
2010-03-31,29.986,30.05,29.128,29.424
2010-04-30,29.449,29.486,28.905,29.219
2010-05-31,29.291,31.681,29.267,30.917
2010-06-30,30.922,31.943,30.675,31.281
2010-07-31,31.291,31.408,30.097,30.297
2010-08-31,30.228,30.983,29.668,30.772
2010-09-30,30.784,31.366,30.358,30.558
2010-10-31,30.479,30.914,29.569,30.78
2010-11-30,30.598,31.58,30.458,31.473
2010-12-31,31.471,31.676,30.186,30.345
2011-01-31,30.719,30.726,29.55,29.763
2011-02-28,29.736,29.736,28.778,28.855
2011-03-31,28.839,28.931,28.101,28.402
2011-04-30,28.439,28.504,27.238,27.362
2011-05-31,27.339,28.538,27.13,27.991
2011-06-30,27.926,28.39,27.633,27.909
2011-07-31,27.87,28.461,27.391,27.609
2011-08-31,27.544,30.168,27.482,28.818
2011-09-30,28.908,32.527,28.845,32.214
2011-10-31,32.552,32.916,29.663,30.253
2011-11-30,30.653,31.709,30.068,30.712
2011-12-31,30.863,32.335,30.654,32.105
2012-01-31,31.96,32.185,30.04,30.25
2012-02-29,30.423,30.439,28.94,29.201
2012-03-31,29.336,29.783,28.848,29.435
2012-04-30,29.321,29.868,29.133,29.367
2012-05-31,29.38,33.667,29.307,33.479
2012-06-30,33.475,34.135,32.047,32.419
2012-07-31,32.437,33.09,31.868,32.161
2012-08-31,32.236,32.647,31.421,32.294
2012-09-30,32.302,32.496,30.46,31.198
2012-10-31,31.276,31.531,30.657,31.339
2012-11-30,31.361,31.846,30.777,30.901
2012-12-31,30.833,31.032,30.254,30.516
2013-01-31,30.261,30.767,29.959,30.018
